,AÑO,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2002
0,Unión Europea,12.7,12.7,12.9,13.7,15.3,15.7,16.1,16.4,16.6,16.8,:,:,:,:,:,:,:,:
1,Albania,:,:,:,:,6.8,:,:,:,:,:,:,:,:,:,:,:,:,:
2,Alemania,17.7,17.6,18.3,19.2,20.1,20.4,21.1,21.8,22.3,22.1,22.7,22.4,22.3,22.6,22.8,22.8,22.7,:
3,Andorra,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
4,Armenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
5,Austria,18.4,18.8,18.9,19.9,20.4,20.7,20.8,21.8,22.2,22.3,22.9,23.5,24,24.3,25.1,25.5,25.5,:
6,Azerbayán,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
7,Bélgica,5,5,5.3,5.8,5.8,5.8,6,6.4,6.6,7.5,8.3,9.4,10.2,10.1,10.2,10.1,9.5,:
8,Bielorrusia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
9,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
10,Bulgaria,13,12.2,12.7,14.1,13.9,14.3,14.6,15.5,14.2,14.1,15.1,13.2,13,13.3,12.3,12.1,12.4,18.9
11,Chipre,10.2,10.2,10.1,10.1,10.4,11.2,12.3,13.2,14.2,14.9,15.6,16.1,16.8,17.8,19.5,22,10.1,22.5
12,Croacia,12.5,11.1,11.2,11.5,11.4,12.3,11.6,:,8.7,7.7,:,:,5.7,:,:,:,:,:
13,Dinamarca,13.9,14.2,13.9,14,14.6,14.8,15.1,15.1,16,16.5,16.8,16.4,17.1,16.8,17.1,17.7,17.6,:
14,Eslovaquia,17.7,16.6,15.8,18.4,19.8,20.1,19.2,19.7,19.7,18.8,20.8,20.1,19.6,21.9,20.9,23.6,25.8,27.7
15,Eslovenia,8.2,3.8,3.1,7.9,9.3,8.4,8.1,8.2,7,6.3,4.5,3.3,0.9,-0.9,4.1,5,8,6.1
16,España,8.7,8.7,8.9,9.4,11.9,13.5,14.8,14.1,14.9,17.8,18.7,17.6,16.2,16.7,16.1,18.1,17.9,20.2
17,Estonia,21.3,20.5,21.1,21.7,21.8,24.9,24.8,26.7,28.1,29.8,29.9,27.3,27.7,26.6,27.6,30.9,29.8,:
18,Finlandia,15.5,16.5,16.7,16.6,16.9,17.1,17.5,17.5,18.4,18.8,19.2,19.1,20.3,20.8,20.5,20.2,21.3,:
19,Francia,13.9,14.7,15.6,16.2,16.7,16.3,15.9,15.6,15.5,15.5,15.6,15.7,15.6,15.2,16.9,17.3,15.4,:
20,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
21,Grecia,:,:,:,:,10.4,:,:,:,12.5,:,:,:,15,:,22,21.5,20.7,25.5
22,Hungría,17.5,17.3,17.2,18.2,14.2,15.9,14,14,15.1,18.4,20.1,18,17.6,17.1,17.5,16.3,14.4,19.1
23,Irlanda,9.3,11.3,9.9,10.8,11.3,14.4,14.2,13.9,13.9,12.9,12.2,12.7,13.9,12.6,12.6,17.3,:,15.1
24,Islandia,9.3,10.4,12.2,14.2,13.8,15.3,15.8,17.5,16.7,19,17.7,17.8,17.7,18,20.7,24,:,:
25,Italia,4.3,5,4.2,4.7,5.5,5,5.3,5.5,6.1,7,6.5,5.7,5.3,5.5,4.9,5.1,4.4,:
26,Kosovo,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
27,Letonia,17.1,14.6,22.3,21.2,19.6,19.8,19.7,18.4,17.3,16,14.9,14.1,15.5,13.1,11.8,13.6,15.1,:
28,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
29,Lituania,12,12,13,13.3,14,15.2,14.4,14.2,13.3,12.2,11.9,11.5,11.9,15.3,21.6,22.6,17.1,13.2
30,Luxemburgo,-0.7,-0.2,0.7,1.3,1.4,2.6,3.9,4.7,5.4,6.2,7,7.9,8.7,9.2,9.7,10.2,10.7,:
31,Macedonia,:,:,:,:,:,:,:,:,9.1,:,:,:,:,:,:,:,:,:
32,Malta,10.2,10.5,10,11.6,13,13.2,11.6,10.7,10.6,9.7,9.5,7.7,7.2,7.7,9.2,7.8,5.2,:
33,Moldavia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
34,Mónaco,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
35,Montenegro,:,:,:,:,:,:,:,:,7.7,:,:,:,:,:,:,:,:,:
36,Noruega,14.4,14.3,13.4,13.2,13.2,13.7,14.5,16,14.5,15.5,14.7,15.7,16.1,16.5,17,15.6,16,:
37,Países Bajos,13,13.5,14.2,14.6,14.7,15.1,15.6,16.1,16.2,16.6,17.6,18.6,17.8,18.5,18.9,19.3,23.6,18.7
38,Polonia,7.8,6.2,4.5,6.5,8.5,7,7.1,7.3,7.7,7.1,6.4,5.5,4.5,8,11.4,14.9,7.5,7.5
39,Portugal,12.5,11.8,11.4,10.9,8.9,10.8,13.9,16,14.9,13.3,15,12.9,12.8,10,9.2,8.5,8.4,:
40,Reino Unido,:,:,:,:,19.8,20.8,20.7,21,20.9,21,22.6,21.8,23.3,20.6,21.4,20.8,24.3,27.3
41,Rep. Checa,17.9,15,16.4,19.2,20.1,21.1,21.5,22.5,22.5,22.3,22.5,22.6,21.6,25.9,26.2,23.6,23.4,22.1
42,Rumanía,4.5,3.6,2.4,3.3,2.2,2.9,4.8,5.6,4.5,4.9,6.9,9.6,8.8,7.4,8.5,12.5,7.8,16
43,Rusia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
44,San Marino,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
45,Serbia,:,:,:,:,9.6,:,:,:,8.7,:,:,:,:,:,:,:,:,:
46,Suecia,11.1,11.2,11.2,11.8,12.1,12.5,13.3,14,13.8,14.6,15.5,15.6,15.4,15.7,16.9,17.8,16.5,:
47,Suiza,17.9,17.7,18.4,18.6,18.3,17,17,17.2,17.4,17.6,17.4,17.6,17.8,18.4,18.4,:,18.6,:
48,Turquía,:,:,:,:,:,:,:,:,-1.3,:,:,:,:,:,:,:,:,:
49,Ucrania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
