,Unnamed: 0,ubicacion,Hombres,Mujeres
0,Cuidado o educación de hijos,España,23,38
1,Cuidado o educación de nietos,España,16,16
2,Cocinar o hacer labores domésticas,España,11,20
3,"Cuidado de familiares, vecinos o amigos enfermos o con discapacidad menores de 75 años",España,14,20
4,"Cuidado de familiares, vecinos o amigos enfermos o con discapacidad mayores de 75 años",España,14,18
5,Cuidado o educación de hijos,UE,21,38
6,Cuidado o educación de nietos,UE,12,16
7,Cocinar o hacer labores domésticas,UE,-,-
8,"Cuidado de familiares, vecinos o amigos enfermos o con discapacidad menores de 75 años",UE,13,16
9,"Cuidado de familiares, vecinos o amigos enfermos o con discapacidad mayores de 75 años",UE,10,12
